MATERIAL_ID,MATERIAL_NAME,MATERIAL_TYPE,MATERIAL_COLOR,PRICE_SQFT,SELL_DATE,SQFT_SOLD,SALES_TOTAL,EXPENSES,PROFIT,CUSTOMER,CITY_NAME,COUNTY_NAME,STATE,TYPE,TRIMESTRE
LG-M612-HM,HI-MACS,SOLID SURFACE,AURORA BISQUE,60,1/10/2024,62.78288934,3766.97336,2448.532684,1318.440676,Monica Carrillo,Rockville,Montgomery,MD,Customer,2024Q1
C930-05202WN,CORIAN,SOLID SURFACE,DESIGNER WHITE,50,1/10/2024,62.8204188,3141.02094,2041.663611,1099.357329,Samantha Petty,Fairfax,Fairfax,VA,Customer,2024Q1
LG-GT918-HM,HI-MACS,SOLID SURFACE,VOLCANIC ICE,60,1/10/2024,19.76022376,1185.613426,770.6487267,414.964699,Cody Barnes,Rockville,Montgomery,MD,Customer,2024Q1
STGR747011,STONEMARK,GRANITE,RIGEL WHITE,74.7,1/10/2024,14.41742255,1076.981465,700.0379522,376.9435127,Gina Clark,Arlington,Arlington,VA,Customer,2024Q1
C956-RNA2UX,CORIAN,SOLID SURFACE,DUNE PRIMA,71,1/11/2024,64.2352726,4560.704355,2964.457831,1596.246524,Steven Adams,Gaithersburg,Montgomery,MD,Customer,2024Q1
STGR576001,STONEMARK,GRANITE,WATERFALL,57.6,1/11/2024,43.91838544,2529.699001,1644.304351,885.3946505,Taylor Thomas,Arlington,Arlington,VA,Customer,2024Q1
LG-M611-HM,HI-MACS,SOLID SURFACE,AURORA CLOUD,60,1/11/2024,25.18020459,1510.812275,982.027979,528.7842964,Regina Wagner,Gaithersburg,Montgomery,MD,Customer,2024Q1
LG-G718-HM,HI-MACS,SOLID SURFACE,RIPE COTTON,50,1/11/2024,25.40279151,1270.139576,825.5907242,444.5488515,Walter Bell,Alexandria,Alexandria,VA,Customer,2024Q1
STGR639005,STONEMARK,GRANITE,SADDLEWHITE,63.9,1/12/2024,60.80319304,3885.324035,2525.460623,1359.863412,Molly Perkins,Alexandria,Alexandria,VA,Customer,2024Q1
LG-M501-HM,HI-MACS,SOLID SURFACE,EDESSA,60,1/12/2024,39.64212264,2378.527359,1546.042783,832.4845755,Jeffrey Gibson,Bethesda,Montgomery,MD,Customer,2024Q1
MC-2X29237SS,WILSONART,SOLID SURFACE,WHISPER WHITE,54,1/12/2024,36.21293119,1955.498284,1271.073885,684.4243995,Andrea Copeland DDS,Washington,District of Columbia,DC,Customer,2024Q1
LX-M607-HM,HI-MACS,SOLID SURFACE,AURORA CREAM,60,1/12/2024,29.57502879,1774.501727,1153.426123,621.0756046,Peter Miller,Bethesda,Montgomery,MD,Customer,2024Q1
LG-G127-HM,HI-MACS,SOLID SURFACE,EDISTO,50,1/13/2024,27.57881454,1378.940727,896.3114724,482.6292544,Jennifer Davis,Falls Church,Falls Church,VA,Customer,2024Q1
C956-RNA2EV,CORIAN,SOLID SURFACE,EVEREST,60,1/15/2024,58.69398081,3521.638849,2289.065252,1232.573597,Michael Baker,Washington,District of Columbia,DC,Customer,2024Q1
LG-G05-HM,HI-MACS,SOLID SURFACE,WHITE GRANITE,45,1/15/2024,55.74083138,2508.337412,1630.419318,877.9180942,Steven Powell,Gaithersburg,Montgomery,MD,Customer,2024Q1
CHD904-1504TO,CORIAN,SOLID SURFACE,SAND STORM,71,1/15/2024,32.66153184,2318.968761,1507.329695,811.6390663,Donald Taylor,Fairfax,Fairfax,VA,Customer,2024Q1
LG-M708-HM,HI-MACS,SOLID SURFACE,AURORA SABLE,60,1/15/2024,7.551113263,453.0667958,294.4934173,158.5733785,Wendy Patterson,Rockville,Montgomery,MD,Customer,2024Q1
C956-RNA2WQ,CORIAN,SOLID SURFACE,WHITE ONYX,71,1/16/2024,75.89145629,5388.293397,3502.390708,1885.902689,Nicholas Fox,Silver Spring,Montgomery,MD,Customer,2024Q1
MC-2X21573MG,WILSONART,SOLID SURFACE,FROSTY WHITE MIRAGE,50,1/16/2024,55.34761068,2767.380534,1798.797347,968.5831868,Angel Cain,Falls Church,Falls Church,VA,Customer,2024Q1
LG-M614-HM,HI-MACS,SOLID SURFACE,AURORA UMBER,60,1/16/2024,38.60531469,2316.318881,1505.607273,810.7116085,Michele Jones,Bethesda,Montgomery,MD,Customer,2024Q1
C930-15202LT,CORIAN,SOLID SURFACE,SANDALWOOD,71,1/16/2024,18.99930289,1348.950505,876.8178283,472.1326768,Antonio Burgess,Rockville,Montgomery,MD,Customer,2024Q1
STGR539002,STONEMARK,GRANITE,AZUL PLATINO,53.9,1/17/2024,62.12299716,3348.429547,2176.479205,1171.950341,Cassandra Mcdonald,Falls Church,Falls Church,VA,Customer,2024Q1
 C930-15202S,CORIAN,SOLID SURFACE,SANDSTONE,60,1/17/2024,37.73130329,2263.878198,1471.520828,792.3573692,John Stafford,Falls Church,Falls Church,VA,Customer,2024Q1
LG-VW01-HM,HI-MACS,SOLID SURFACE,GEMINI,60,1/17/2024,16.50792322,990.4753931,643.8090055,346.6663876,Adam Davis,Alexandria,Alexandria,VA,Customer,2024Q1
STGR639009,STONEMARK,GRANITE,WHITE PEBBLE,63.9,1/17/2024,13.22162231,844.8616656,549.1600826,295.701583,Madeline Potter,Washington,District of Columbia,DC,Customer,2024Q1
STGR539003,STONEMARK,GRANITE,GIALLO ORNAMENTAL,53.9,1/18/2024,70.57627074,3804.060993,2472.639645,1331.421347,Ryan Evans,Fairfax,Fairfax,VA,Customer,2024Q1
C930-15202MV,CORIAN,SOLID SURFACE,SAVANNAH,71,1/18/2024,38.02661785,2699.889867,1754.928414,944.9614536,Angela Dixon,Rockville,Montgomery,MD,Customer,2024Q1
STGR747002,STONEMARK,GRANITE,BIANCO ANTICO,74.7,1/18/2024,35.1263649,2623.939458,1705.560648,918.3788104,Grace Stark,Gaithersburg,Montgomery,MD,Customer,2024Q1
STGR675001,STONEMARK,GRANITE,SF REAL,67.5,1/19/2024,70.39278536,4751.513012,3088.483458,1663.029554,Coleman Builders,Bethesda,Montgomery,MD,Contractor,2024Q1
C930-05202H,CORIAN,SOLID SURFACE,GLACIER WHITE,50,1/19/2024,55.73879647,2786.939824,1811.510885,975.4289383,Brittany Reed,Gaithersburg,Montgomery,MD,Customer,2024Q1
STGR747003,STONEMARK,GRANITE,BIANCO LUCRE,74.7,1/19/2024,24.19261331,1807.188214,1174.672339,632.515875,Andrew Wilkinson,Bethesda,Montgomery,MD,Customer,2024Q1
LG-G103-HM,HI-MACS,SOLID SURFACE,GRAPHITE GRANITE,50,1/20/2024,28.47601816,1423.800908,925.4705903,498.3303179,Nicole Pena,Fairfax,Fairfax,VA,Customer,2024Q1
STGR639002,STONEMARK,GRANITE,BLACK MIST HONED,63.9,1/22/2024,66.92211536,4276.323171,2779.610061,1496.71311,Brown Development,Silver Spring,Montgomery,MD,Contractor,2024Q1
C956-RNA2SV,CORIAN,SOLID SURFACE,SILVER BIRCH,71,1/22/2024,42.26473063,3000.795875,1950.517319,1050.278556,Peter Kelley,Baltimore,Baltimore City,MD,Customer,2024Q1
C956-RNA2GQ,CORIAN,SOLID SURFACE,GRAY ONYX,71,1/22/2024,31.48448093,2235.398146,1453.008795,782.3893512,John Smith,Falls Church,Falls Church,VA,Customer,2024Q1
STGR539006,STONEMARK,GRANITE,SILVER MIST,53.9,1/23/2024,53.14930581,2864.747583,1862.085929,1002.661654,Andre Harrell Jr.,Arlington,Arlington,VA,Customer,2024Q1
STGR639003,STONEMARK,GRANITE,BLACK PEARL,63.9,1/23/2024,36.71389592,2346.017949,1524.911667,821.1062823,Shelby Valenzuela,Rockville,Montgomery,MD,Customer,2024Q1
STGR539004,STONEMARK,GRANITE,GRAY WAVE,53.9,1/23/2024,18.91107784,1019.307095,662.549612,356.7574834,Michelle Schmidt,Alexandria,Alexandria,VA,Customer,2024Q1
C956-RNA2SX,CORIAN,SOLID SURFACE,SMOKE DRIFT PRIMA,71,1/24/2024,70.57686199,5010.957201,3257.122181,1753.83502,Rivera Group,Alexandria,Alexandria,VA,Contractor,2024Q1
MC-2X2HD9227SS,WILSONART,SOLID SURFACE,HIDDEN SPACE,50,1/24/2024,75.18004132,3759.002066,2443.351343,1315.650723,Greg Davis,Fairfax,Fairfax,VA,Customer,2024Q1
STGR747004,STONEMARK,GRANITE,BLUE DUNES,74.7,1/24/2024,41.21892635,3079.053799,2001.384969,1077.668829,Michael Bender,Washington,District of Columbia,DC,Customer,2024Q1
STGR539005,STONEMARK,GRANITE,IBERIAN WHITE,53.9,1/25/2024,68.5061035,3692.478979,2400.111336,1292.367642,Emily Cardenas,Bethesda,Montgomery,MD,Customer,2024Q1
STGR539007,STONEMARK,GRANITE,ST. CECILLIA,53.9,1/25/2024,24.80087173,1336.766986,868.8985412,467.8684453,Brandon Ramos,Arlington,Arlington,VA,Customer,2024Q1
STGR747005,STONEMARK,GRANITE,BLUE DUNES CARESSED,74.7,1/25/2024,11.91755451,890.2413216,578.6568591,311.5844626,Sarah Thompson,Alexandria,Alexandria,VA,Customer,2024Q1
STGR639007,STONEMARK,GRANITE,STEEL GREY,63.9,1/26/2024,20.87310283,1333.791271,866.9643261,466.8269448,Sarah Cooper,Fairfax,Fairfax,VA,Customer,2024Q1
LG-W001-HM,HI-MACS,SOLID SURFACE,ICE QUEEN,60,1/26/2024,19.73040961,1183.824577,769.4859748,414.3386018,John Le,Fairfax,Fairfax,VA,Customer,2024Q1
STGR808003,STONEMARK,GRANITE,BLUE PEARL,80.8,1/26/2024,10.29616752,831.930336,540.7547184,291.1756176,Donald Jacobs,Silver Spring,Montgomery,MD,Customer,2024Q1
LX-M802-HM,HI-MACS,SOLID SURFACE,CALACATTA FIORE,64,1/27/2024,53.73865984,3439.27423,2235.528249,1203.74598,Dawn Henderson,Alexandria,Alexandria,VA,Customer,2024Q1
STGR747008,STONEMARK,GRANITE,KEMPTON PARK,74.7,1/29/2024,70.69980877,5281.275715,3432.829215,1848.4465,Isaac Medina,Alexandria,Alexandria,VA,Customer,2024Q1
C930-15202CN,CORIAN,SOLID SURFACE,CANYON,60,1/29/2024,44.81122693,2688.673616,1747.63785,941.0357656,Beth Wagner,Arlington,Arlington,VA,Customer,2024Q1
STGR808008,STONEMARK,GRANITE,WHITE SPRINGS,80.8,1/29/2024,14.85837632,1200.556807,780.3619244,420.1948824,Michael Barker,Falls Church,Falls Church,VA,Customer,2024Q1
LG-VE01-HM,HI-MACS,SOLID SURFACE,TAMBORA,50,1/29/2024,16.52594747,826.2973734,537.0932927,289.2040807,Mario Howell,Fairfax,Fairfax,VA,Customer,2024Q1
C930-15202TO,CORIAN,SOLID SURFACE,WITCH HAZEL,71,1/30/2024,71.13269992,5050.421694,3282.774101,1767.647593,Tate Development,Baltimore,Baltimore City,MD,Contractor,2024Q1
STGR808007,STONEMARK,GRANITE,LENNON,80.8,1/30/2024,50.37013097,4069.906582,2645.439279,1424.467304,Pamela Browning,Baltimore,Baltimore City,MD,Customer,2024Q1
LG-G50-HM,HI-MACS,SOLID SURFACE,TAPIOCA PEARL,50,1/30/2024,27.74501433,1387.250717,901.7129658,485.5377508,Jessica Frederick,Alexandria,Alexandria,VA,Customer,2024Q1
STGR808004,STONEMARK,GRANITE,CAROLINE SUMMER,80.8,1/30/2024,15.34466793,1239.849169,805.9019597,433.947209,Robert Williams,Gaithersburg,Montgomery,MD,Customer,2024Q1
STGR747015,STONEMARK,GRANITE,YUKON WHITE,74.7,1/31/2024,75.00547587,5602.909047,3641.890881,1961.018166,Tina Davis,Gaithersburg,Montgomery,MD,Customer,2024Q1
C956-RNA2CRC,CORIAN,SOLID SURFACE,CARRARA CREMA,71,1/31/2024,44.81585269,3181.925541,2068.251601,1113.673939,Renee Arellano,Baltimore,Baltimore City,MD,Customer,2024Q1
C930-15202LI,CORIAN,SOLID SURFACE,LIMESTONE PRIMA,71,1/31/2024,13.26391592,941.7380305,612.1297198,329.6083107,Austin Contreras,Gaithersburg,Montgomery,MD,Customer,2024Q1
STGR747014,STONEMARK,GRANITE,THUNDER WHITE,74.7,1/31/2024,9.579199643,715.5662133,465.1180387,250.4481747,Adriana Fitzgerald,Alexandria,Alexandria,VA,Customer,2024Q1
C930-15202TO,CORIAN,SOLID SURFACE,WITCH HAZEL,71,2/1/2024,41.621626,2955.135446,1920.83804,1034.297406,Brown Development,Falls Church,Falls Church,VA,Contractor,2024Q1
C956-RNA2CRC,CORIAN,SOLID SURFACE,CARRARA CREMA,71,2/1/2024,40.53627247,2878.075345,1870.748974,1007.326371,Johnson Builders,Gaithersburg,Montgomery,MD,Contractor,2024Q1
C956-RNA2ARG,CORIAN,SOLID SURFACE,ARTISTA GRAY,60,2/1/2024,62.19609216,3731.76553,2425.647594,1306.117935,Nathan Montoya,Alexandria,Alexandria,VA,Customer,2024Q1
C930-15202LI,CORIAN,SOLID SURFACE,LIMESTONE PRIMA,71,2/1/2024,50.02154763,3551.529882,2308.494423,1243.035459,Terri Hensley,Bethesda,Montgomery,MD,Customer,2024Q1
C930-15202CN,CORIAN,SOLID SURFACE,CANYON,60,2/1/2024,58.72915623,3523.749374,2290.437093,1233.312281,Benjamin Snow,Fairfax,Fairfax,VA,Customer,2024Q1
 C930-15202S,CORIAN,SOLID SURFACE,SANDSTONE,60,2/1/2024,39.30169983,2358.10199,1532.766293,825.3356964,Mark King,Silver Spring,Montgomery,MD,Customer,2024Q1
C930-15202RC,CORIAN,SOLID SURFACE,RAIN CLOUD,71,2/1/2024,21.46991974,1524.364302,990.836796,533.5275055,Melissa Allison,Washington,District of Columbia,DC,Customer,2024Q1
C930-05202H,CORIAN,SOLID SURFACE,GLACIER WHITE,50,2/1/2024,20.75576745,1037.788373,674.5624422,363.2259304,Susan Williams,Alexandria,Alexandria,VA,Customer,2024Q1
C930-05202WN,CORIAN,SOLID SURFACE,DESIGNER WHITE,50,2/1/2024,15.99335057,799.6675284,519.7838934,279.8836349,Amy Phillips,Falls Church,Falls Church,VA,Customer,2024Q1
C956-RNA2HX,CORIAN,SOLID SURFACE,ASH CONCRETE,71,2/2/2024,54.43294939,3864.739406,2512.080614,1352.658792,Morgan Taylor,Silver Spring,Montgomery,MD,Customer,2024Q1
MC-2X21573MG,WILSONART,SOLID SURFACE,FROSTY WHITE MIRAGE,50,2/2/2024,61.85425282,3092.712641,2010.263217,1082.449424,Christian Wilson,Bethesda,Montgomery,MD,Customer,2024Q1
STGR539002,STONEMARK,GRANITE,AZUL PLATINO,53.9,2/2/2024,49.90865715,2690.076621,1748.549803,941.5268172,Mr. Victor Johnson MD,Rockville,Montgomery,MD,Customer,2024Q1
LG-T001-HM,HI-MACS,SOLID SURFACE,VENUS,60,2/2/2024,37.62254154,2257.352492,1467.27912,790.0733723,George King,Alexandria,Alexandria,VA,Customer,2024Q1
LG-S06-HM,HI-MACS,SOLID SURFACE,ARCTIC WHITE,50,2/2/2024,42.20300472,2110.150236,1371.597653,738.5525825,Linda Francis,Gaithersburg,Montgomery,MD,Customer,2024Q1
STGR639007,STONEMARK,GRANITE,STEEL GREY,63.9,2/2/2024,32.66935267,2087.571636,1356.921563,730.6500725,Thomas Owens,Washington,District of Columbia,DC,Customer,2024Q1
LG-G015-HM,HI-MACS,SOLID SURFACE,MIDNIGHT PEARL,50,2/2/2024,26.55076181,1327.538091,862.8997589,464.6383317,Daniel Farmer,Alexandria,Alexandria,VA,Customer,2024Q1
LG-GT918-HM,HI-MACS,SOLID SURFACE,VOLCANIC ICE,60,2/2/2024,19.913768,1194.82608,776.6369519,418.1891279,Amanda Johnson,Baltimore,Baltimore City,MD,Customer,2024Q1
LG-L017-HM,HI-MACS,SOLID SURFACE,KAMET,60,2/2/2024,19.32513177,1159.507906,753.680139,405.8277672,Amanda Moore,Silver Spring,Montgomery,MD,Customer,2024Q1
C956-RNA2LN,CORIAN,SOLID SURFACE,LINEN,50,2/2/2024,21.37921126,1068.960563,694.8243658,374.136197,Danielle Hall,Baltimore,Baltimore City,MD,Customer,2024Q1
C956-RNA2NX,CORIAN,SOLID SURFACE,NEUTRAL CONCRETE,60,2/2/2024,17.66587578,1059.952547,688.9691556,370.9833915,Isabella Schmidt MD,Arlington,Arlington,VA,Customer,2024Q1
LG-G718-HM,HI-MACS,SOLID SURFACE,RIPE COTTON,50,2/2/2024,18.07583666,903.791833,587.4646915,316.3271416,Angel Solis,Fairfax,Fairfax,VA,Customer,2024Q1
C930-15202LT,CORIAN,SOLID SURFACE,SANDALWOOD,71,2/2/2024,11.8129937,838.7225524,545.169659,293.5528933,Joseph Williamson,Bethesda,Montgomery,MD,Customer,2024Q1
LG-GT913-HM,HI-MACS,SOLID SURFACE,VANILLA SUGAR,50,2/2/2024,11.93908681,596.9543404,388.0203212,208.9340191,Pamela Mason,Falls Church,Falls Church,VA,Customer,2024Q1
LX-M802-HM,HI-MACS,SOLID SURFACE,CALACATTA FIORE,64,2/2/2024,5.472312276,350.2279856,227.6481907,122.579795,Christopher Nelson,Fairfax,Fairfax,VA,Customer,2024Q1
STGR747012,STONEMARK,GRANITE,SIBERIAN WHITE,74.7,2/3/2024,63.52689816,4745.459292,3084.54854,1660.910752,Peck Builders,Gaithersburg,Montgomery,MD,Contractor,2024Q1
STGR539003,STONEMARK,GRANITE,GIALLO ORNAMENTAL,53.9,2/3/2024,14.99992886,808.4961656,525.5225076,282.973658,Christina Bean,Rockville,Montgomery,MD,Customer,2024Q1
STGR747014,STONEMARK,GRANITE,THUNDER WHITE,74.7,2/5/2024,54.07855995,4039.668428,2625.784478,1413.88395,Alyssa Allen,Gaithersburg,Montgomery,MD,Customer,2024Q1
STGR539005,STONEMARK,GRANITE,IBERIAN WHITE,53.9,2/5/2024,27.01136024,1455.912317,946.343006,509.5693109,Ryan Peterson,Rockville,Montgomery,MD,Customer,2024Q1
STGR747015,STONEMARK,GRANITE,YUKON WHITE,74.7,2/6/2024,32.48880792,2426.913952,1577.494068,849.419883,Lisa Ramsey,Baltimore,Baltimore City,MD,Customer,2024Q1
STGR539006,STONEMARK,GRANITE,SILVER MIST,53.9,2/6/2024,35.21461236,1898.067606,1233.743944,664.3236622,Carl Hoffman,Washington,District of Columbia,DC,Customer,2024Q1
STGR576001,STONEMARK,GRANITE,WATERFALL,57.6,2/7/2024,45.79318638,2637.687535,1714.496898,923.1906374,Charles Small,Silver Spring,Montgomery,MD,Customer,2024Q1
LG-M501-HM,HI-MACS,SOLID SURFACE,EDESSA,60,2/7/2024,23.42137316,1405.282389,913.4335531,491.8488363,Christopher Page,Arlington,Arlington,VA,Customer,2024Q1
STGR808001,STONEMARK,GRANITE,ADONIS WHITE,80.8,2/7/2024,12.73509329,1028.995538,668.8470998,360.1484383,Kathleen Clements,Alexandria,Alexandria,VA,Customer,2024Q1
STGR539007,STONEMARK,GRANITE,ST. CECILLIA,53.9,2/7/2024,9.362464388,504.6368305,328.0139399,176.6228907,Elizabeth Hester,Alexandria,Alexandria,VA,Customer,2024Q1
STGR576002,STONEMARK,GRANITE,WHITE FANTASY,57.6,2/8/2024,49.46438027,2849.148304,1851.946397,997.2019063,Earl Coleman,Falls Church,Falls Church,VA,Customer,2024Q1
STGR808002,STONEMARK,GRANITE,BLACK GALAXY,80.8,2/8/2024,22.97046548,1856.013611,1206.408847,649.6047638,Becky Gordon,Alexandria,Alexandria,VA,Customer,2024Q1
STGR539008,STONEMARK,GRANITE,UBATUBA,53.9,2/8/2024,25.80290606,1390.776637,904.0048139,486.7718229,Rachael Harding,Baltimore,Baltimore City,MD,Customer,2024Q1
LG-M502-HM,HI-MACS,SOLID SURFACE,VATHI,60,2/8/2024,22.36222783,1341.73367,872.1268852,469.6067843,Michelle Moore DDS,Baltimore,Baltimore City,MD,Customer,2024Q1
STGR808003,STONEMARK,GRANITE,BLUE PEARL,80.8,2/9/2024,45.78508895,3699.435187,2404.632872,1294.802316,David Ruiz,Arlington,Arlington,VA,Customer,2024Q1
STGR539009,STONEMARK,GRANITE,VALLE NEVADO,53.9,2/9/2024,35.58316969,1917.932846,1246.65635,671.2764962,Gerald Page,Falls Church,Falls Church,VA,Customer,2024Q1
STGR639001,STONEMARK,GRANITE,AMARELLO ORNAMENTAL,63.9,2/9/2024,29.81730643,1905.325881,1238.461823,666.8640583,Teresa Pearson,Arlington,Arlington,VA,Customer,2024Q1
LG-M557-HM,HI-MACS,SOLID SURFACE,CLOUD CONCRETE,50,2/9/2024,21.32396433,1066.198216,693.0288407,373.1693758,Matthew Potts,Baltimore,Baltimore City,MD,Customer,2024Q1
STGR639002,STONEMARK,GRANITE,BLACK MIST HONED,63.9,2/10/2024,19.56829289,1250.413915,812.769045,437.6448704,Taylor Builders,Arlington,Arlington,VA,Contractor,2024Q1
STGR808004,STONEMARK,GRANITE,CAROLINE SUMMER,80.8,2/10/2024,36.77384326,2971.326535,1931.362248,1039.964287,Cody Jackson,Alexandria,Alexandria,VA,Customer,2024Q1
LG-M601-HM,HI-MACS,SOLID SURFACE,TORANO,60,2/10/2024,18.14844967,1088.90698,707.7895371,381.1174431,Christopher Mercado,Arlington,Arlington,VA,Customer,2024Q1
LG-M611-HM,HI-MACS,SOLID SURFACE,AURORA CLOUD,60,2/12/2024,47.88702218,2873.221331,1867.593865,1005.627466,Blake Construction,Baltimore,Baltimore City,MD,Contractor,2024Q1
STGR808006,STONEMARK,GRANITE,ENCHANTED FOREST,80.8,2/12/2024,59.9202091,4841.552895,3147.009382,1694.543513,Brown Contracting,Bethesda,Montgomery,MD,Contractor,2024Q1
STGR639004,STONEMARK,GRANITE,COFFEE BROWN,63.9,2/12/2024,31.89738348,2038.242805,1324.857823,713.3849816,Johnston Development,Falls Church,Falls Church,VA,Contractor,2024Q1
LG-M612-HM,HI-MACS,SOLID SURFACE,AURORA BISQUE,60,2/13/2024,60.96033768,3657.620261,2377.453169,1280.167091,Emily Castillo,Baltimore,Baltimore City,MD,Customer,2024Q1
MC-2X29237SS,WILSONART,SOLID SURFACE,WHISPER WHITE,54,2/13/2024,59.81695953,3230.115814,2099.575279,1130.540535,Darren Jackson,Alexandria,Alexandria,VA,Customer,2024Q1
LG-G05-HM,HI-MACS,SOLID SURFACE,WHITE GRANITE,45,2/13/2024,50.15493683,2256.972158,1467.031902,789.9402551,Jason Sosa,Silver Spring,Montgomery,MD,Customer,2024Q1
STGR808007,STONEMARK,GRANITE,LENNON,80.8,2/13/2024,26.56564784,2146.504346,1395.227825,751.276521,Mike Harris,Bethesda,Montgomery,MD,Customer,2024Q1
STGR639005,STONEMARK,GRANITE,SADDLEWHITE,63.9,2/13/2024,23.32462678,1490.443651,968.7883733,521.6552779,Monica Mason,Bethesda,Montgomery,MD,Customer,2024Q1
